,id,neighbourhood,property_type,room_type,latitude,longitude,accommodates,bathrooms,bedrooms,beds,price,category,TV,Internet,Air_conditioning,Kitchen,Heating,Wifi,Elevator,Breakfast
1,3831,Brooklyn,Entire guest suite,Entire home/apt,40.68494,-73.95765,3,1.0,1.0,3.0,75,0,1,0,1,1,1,1,0,0
3,5136,Brooklyn,Entire rental unit,Entire home/apt,40.66265,-73.99454,4,1.5,2.0,2.0,275,2,1,0,1,1,1,1,0,0
4,5178,Manhattan,Private room in rental unit,Private room,40.76457,-73.98317,2,1.0,1.0,1.0,68,0,1,0,1,0,1,1,0,0
5,5203,Manhattan,Private room in rental unit,Private room,40.8038,-73.96751,1,1.0,1.0,1.0,75,0,0,0,1,0,1,1,1,1
8,6872,Manhattan,Private room in condominium (condo),Private room,40.80107,-73.94255,1,1.0,1.0,1.0,65,0,0,0,0,1,1,1,1,0
9,6990,Manhattan,Private room in rental unit,Private room,40.78778,-73.94759,1,1.0,1.0,1.0,62,0,0,0,1,1,1,1,0,1
10,7064,Brooklyn,Private room in loft,Private room,40.71248,-73.95881,1,1.0,1.0,1.0,90,0,0,0,1,1,1,1,0,0
11,7097,Brooklyn,Entire guest suite,Entire home/apt,40.69121,-73.97277,4,1.0,1.0,2.0,199,2,1,0,1,1,1,1,0,0
12,7750,Manhattan,Private room in rental unit,Private room,40.79607,-73.94949,1,1.0,2.0,2.0,96,1,1,0,1,1,1,1,1,0
14,8490,Brooklyn,Entire loft,Entire home/apt,40.68462,-73.93839,5,1.0,1.0,4.0,140,1,1,0,1,1,1,1,0,0
16,9657,Manhattan,Entire rental unit,Entire home/apt,40.72712,-73.98598,2,1.0,1.0,1.0,175,1,1,0,1,1,1,1,0,0
17,9704,Manhattan,Private room in rental unit,Private room,40.81317,-73.95465,2,1.0,1.0,1.0,55,0,1,0,1,1,1,1,1,0
18,10452,Brooklyn,Private room in rental unit,Private room,40.68294,-73.95682,3,1.0,1.0,2.0,82,0,1,0,1,1,1,1,0,0
20,11943,Brooklyn,Private room in residential home,Private room,40.63702,-73.96327,1,1.0,1.0,2.0,150,1,0,0,1,1,1,1,0,1
21,12192,Manhattan,Private room in rental unit,Private room,40.72296,-73.98383,2,1.0,1.0,1.0,40,0,1,0,1,1,1,1,0,0
22,12343,Manhattan,Entire rental unit,Entire home/apt,40.8114,-73.94296,3,1.0,1.0,1.0,250,2,1,0,1,1,1,1,0,0
23,12937,Queens,Private room in townhouse,Private room,40.74757,-73.94571,4,1.0,1.0,2.0,145,1,0,0,1,0,1,1,0,0
24,12940,Brooklyn,Entire rental unit,Entire home/apt,40.67946,-73.95417,2,1.0,1.0,1.0,99,1,0,0,1,1,1,1,0,0
25,13121,Queens,Private room in residential home,Private room,40.67144,-73.76501,3,1.0,1.0,2.0,75,0,1,0,1,1,1,1,0,0
26,13808,Brooklyn,Private room in townhouse,Private room,40.68064,-73.94039,2,1.0,1.0,1.0,80,0,0,0,1,1,1,1,0,0
28,14314,Brooklyn,Entire rental unit,Entire home/apt,40.73535,-73.95584,2,1.0,1.0,2.0,99,1,1,0,1,1,1,1,0,0
29,14434,Brooklyn,Private room in rental unit,Private room,40.68777,-73.94976,2,1.0,1.0,1.0,70,0,0,0,1,1,1,1,0,0
31,15341,Manhattan,Entire condominium (condo),Entire home/apt,40.72297,-73.99684,3,1.0,1.0,2.0,171,1,0,0,0,1,0,1,1,0
32,15385,Brooklyn,Private room in rental unit,Private room,40.71211,-73.96397,1,1.0,1.0,1.0,80,0,0,0,1,1,1,1,0,0
33,15396,Manhattan,Entire rental unit,Entire home/apt,40.74493,-73.99521,4,2.0,2.0,2.0,400,2,1,0,1,1,1,1,1,0
34,15711,Manhattan,Entire rental unit,Entire home/apt,40.77119,-73.95241,6,1.0,2.0,4.0,206,2,1,0,1,1,1,1,0,0
35,16326,Brooklyn,Entire condominium (condo),Entire home/apt,40.67839,-73.96642,8,2.0,4.0,4.0,140,1,1,0,1,1,1,1,0,0
36,16338,Brooklyn,Private room in rental unit,Private room,40.69121,-73.96804,2,1.0,1.0,2.0,55,0,0,0,1,1,1,1,0,0
37,16580,Manhattan,Private room in condominium (condo),Private room,40.72489,-73.9781,2,1.0,1.0,1.0,95,1,1,0,1,1,1,1,1,0
38,16595,Brooklyn,Entire loft,Entire home/apt,40.7092,-73.96641,2,1.0,1.0,1.0,500,3,0,0,0,1,1,1,0,0
39,16821,Manhattan,Private room in rental unit,Private room,40.72281,-73.98501,1,1.0,1.0,1.0,144,1,0,0,0,1,1,1,0,0
40,16974,Manhattan,Entire loft,Entire home/apt,40.8019,-73.93762,8,2.0,4.0,6.0,250,2,1,0,1,1,1,1,1,0
41,17037,Manhattan,Entire rental unit,Entire home/apt,40.72289,-73.98028,2,1.0,1.0,1.0,220,2,1,0,1,1,1,1,0,0
42,17693,Manhattan,Private room in rental unit,Private room,40.83253,-73.94108,2,1.0,1.0,1.0,65,0,1,0,0,0,1,1,1,0
43,18127,Manhattan,Entire rental unit,Entire home/apt,40.72862,-73.98748,2,1.0,1.0,1.0,190,2,1,0,1,1,1,1,0,0
44,18152,Manhattan,Private room in rental unit,Private room,40.76967,-73.94831,2,1.0,2.0,1.0,60,0,0,0,1,1,0,1,0,0
45,18728,Manhattan,Private room in loft,Private room,40.74261,-74.00353,3,1.5,1.0,1.0,175,1,1,0,1,1,1,1,1,1
46,18961,Manhattan,Private room in rental unit,Private room,40.73808,-73.98001,2,1.0,1.0,1.0,95,1,1,0,1,1,1,1,0,0
47,19159,Manhattan,Entire rental unit,Entire home/apt,40.82817,-73.95133,3,1.0,2.0,2.0,110,1,1,0,1,1,1,1,1,0
48,19282,Brooklyn,Private room in rental unit,Private room,40.65437,-73.96278,4,2.0,1.0,2.0,110,1,1,0,1,1,1,1,1,0
49,19812,Brooklyn,Entire rental unit,Entire home/apt,40.71802,-73.95724,2,1.0,1.0,1.0,105,1,1,0,1,1,1,1,0,0
50,20717,Brooklyn,Private room in residential home,Private room,40.6771,-73.97231,2,1.5,1.0,1.0,85,0,0,0,1,1,1,1,0,1
52,20913,Brooklyn,Entire rental unit,Entire home/apt,40.70967,-73.95922,2,1.0,1.0,1.0,80,0,0,0,0,1,1,1,0,0
55,21794,Manhattan,Private room in rental unit,Private room,40.74187,-74.00223,2,1.0,1.0,1.0,85,0,1,0,1,1,1,1,0,0
56,23135,Brooklyn,Entire rental unit,Entire home/apt,40.67747,-74.00146,2,1.0,1.0,1.0,182,2,1,0,1,1,1,1,0,0
